country_code,year,gdp_per_capita,inflation,unemployment,gdp_growth,fiscal_balance,current_account
DEU,2001,23878.3641471651,1.98385731334471,7.773,1.63614170690956,-1.36440859382473,-0.17042466008937
DEU,2002,25486.5942008748,1.42080615551526,8.482,-0.228255715793637,-2.0335888025331,1.98424702046954
DEU,2003,30711.1022511331,1.03422218628562,9.779,-0.529801394291297,-1.66578157005726,1.53250948753762
DEU,2004,34566.7359143735,1.66573696655991,10.727,1.16208684507278,-1.82343090395283,4.53374240243277
DEU,2005,35084.4363546269,1.54691114751328,11.193,0.885485292551564,-2.17873251609186,4.64324145764122
DEU,2006,36980.3349948954,1.57742642840563,10.277,3.86668241523209,-1.17382057390631,5.83661726884204
DEU,2007,42350.9217211489,2.2983440070095,8.732,2.8891174138025,-0.16886815460503,6.70574096490579
DEU,2008,46379.1647953479,2.62837981637219,7.508,0.887902330743628,-0.295564790211951,5.57767610595061
DEU,2009,42471.8868625226,0.312739007368446,7.88,-5.54455451920674,-2.0714764010794,5.87627948005071
DEU,2010,42396.9665976293,1.1038103778926,7.043,4.13463778522758,-3.20048484663093,5.77277636027696
DEU,2011,47630.9761883572,2.07517283735874,5.967,3.75796884489337,-0.370780258545056,6.26091712383114
DEU,2012,44718.0159214069,2.00848884782956,5.372,0.463512036709204,0.0930239204366837,7.19554460437767
DEU,2013,47206.8353514242,1.50472330251876,5.316,0.396995583779145,0.204327258519159,6.72910853583547
DEU,2014,48959.5991203133,0.906794000434245,4.979,2.18018602168017,0.684275600022785,7.19417703303447
DEU,2015,41929.7549110722,0.514426137125456,4.612,1.66300602334775,0.679066934885634,8.09671429040111
DEU,2016,42948.9381932694,0.491747008445174,4.104,2.22222216259371,0.736915570494584,8.9023603683727
DEU,2017,45553.9341495339,1.50949485109628,3.781,2.797906720551,0.636282630936273,8.07873526112888
DEU,2018,48916.1686612154,1.73216879766941,3.384,1.13569604599849,1.11091050456752,8.43761219902204
DEU,2019,47656.199739747,1.44565976888253,3.163,0.977734697038784,0.766521168807671,7.87471222403171
DEU,2020,47394.8734504469,0.144877925813981,3.881,-4.13191443239947,-3.65593267492002,6.34782686016016
DEU,2021,52349.2459994422,3.06666666666673,3.594,3.90999994204108,-3.52007147628953,6.9200696637534
DEU,2022,50506.5179638543,6.87257438551096,3.137,1.8092581243061,-2.5662569966837,3.85045627175846
DEU,2023,54776.7668235491,5.94643667725823,3.071,-0.869647578573321,-1.98906930280069,5.51222510245724
DEU,2024,56103.7323182554,2.2564981433876,3.4,-0.495851897260366,-1.68030732483709,5.81156126321154
DNK,1990,26885.6994188191,2.64160306382001,,1.66026774169177,-0.416893511800699,0.992308259412131
DNK,1991,27002.8057705804,2.39515331724416,9.099,1.45818005306188,-1.2318760807292,1.42496597503466
DNK,1992,29579.4913648682,2.09604442933213,9.027,2.0228112415746,-1.30333862980809,2.74488364106853
DNK,1993,27581.7241097459,1.2578566795326,10.719,-0.078900412805325,-1.9157913992825,3.3761876880507
DNK,1994,29967.8303903163,1.99201463809517,8.036,5.29469615156448,-2.1994874183601,2.04424373399312
DNK,1995,35321.0980773087,2.08360842382854,6.992,3.03802150461165,-3.71689658293391,1.00340778021557
DNK,1996,35621.9878051732,2.12629802275577,6.844,2.89575069230459,-2.06338243184576,1.64799093505223
DNK,1997,32779.879045297,2.1821667790712,5.4,3.16848143784479,-0.936921579838566,0.531779842222928
